client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment	variant	audio_path	phonemes
17021302b041dc599bf09c16f2b27da5b4eb9cd16afb7820d8c18031b69851175b489bbf33db91eab59b81dcd551f53bad42aefce4efc7fadd267efa8bad7238	/scratch/ABHI/huggingface_cache2/downloads/extracted/8c76145891db0bce2e80f81c136d10e43b70cd68af05b7744a335c4277496e98/pl_other_0/common_voice_pl_20620190.mp3	W przystani onej nie masz rekina…	0	1	thirties	male_masculine		pl			/scratch/ABHI/huggingface_cache2/downloads/extracted/8c76145891db0bce2e80f81c136d10e43b70cd68af05b7744a335c4277496e98/pl_other_0/common_voice_pl_20620190.mp3	f pʃɨstaɲi ɔnɛj ɲʲɛ maʃ rɛkina
cd489dd30d5fda79bcf1f336d888e01bce7b7e0ef1f4ec34db5f2758362ab30baedb2b3d26c6cce2eeddb087ccda8246ff151931d2eef367cee35c91436ec34b	/scratch/ABHI/huggingface_cache2/downloads/extracted/8c76145891db0bce2e80f81c136d10e43b70cd68af05b7744a335c4277496e98/pl_other_0/common_voice_pl_20620192.mp3	Jedne duże, że dwóch może się wozić.	1	0				pl			/scratch/ABHI/huggingface_cache2/downloads/extracted/8c76145891db0bce2e80f81c136d10e43b70cd68af05b7744a335c4277496e98/pl_other_0/common_voice_pl_20620192.mp3	jɛdnɛ duʒɛ ʒɛ dvux mɔʒɛ ɕɛ vɔzitɕ
079024020e39e77a3a14ac989281bd13ba9cb0e5df0e662f8c6dff9c4985f1eb0b58e66e9bebd0e17362d505852ac77ea985d46cc42ac12398e31f512aa479d6	/scratch/ABHI/huggingface_cache2/downloads/extracted/8c76145891db0bce2e80f81c136d10e43b70cd68af05b7744a335c4277496e98/pl_other_0/common_voice_pl_20620203.mp3	Kładę się znowu.	1	1	fourties	male_masculine		pl			/scratch/ABHI/huggingface_cache2/downloads/extracted/8c76145891db0bce2e80f81c136d10e43b70cd68af05b7744a335c4277496e98/pl_other_0/common_voice_pl_20620203.mp3	kwadɛ ɕɛ znɔvu
18eb77566a933b40a71f26e2953e1c175e549bc29fca865d6621e021abb8d5d3133c0a1a7c81a2ffcc325ace6447e2f864188f9a4af4779407b7b5f9d7e4678c	/scratch/ABHI/huggingface_cache2/downloads/extracted/8c76145891db0bce2e80f81c136d10e43b70cd68af05b7744a335c4277496e98/pl_other_0/common_voice_pl_20620294.mp3	I myślały, że ich dary tak prędko dojechały.	1	0				pl			/scratch/ABHI/huggingface_cache2/downloads/extracted/8c76145891db0bce2e80f81c136d10e43b70cd68af05b7744a335c4277496e98/pl_other_0/common_voice_pl_20620294.mp3	i mɨɕlawɨ ʒɛ iɣ darɨ tak prɛntkɔ dɔjɛxawɨ
f86623298d3dbab0187cbb055721fd4596c8665c4e19fd49626680bad857630e33db565c426d2d648df7136e1e3374004d18f072ce5da469596f6a1ebe8f5e62	/scratch/ABHI/huggingface_cache2/downloads/extracted/8c76145891db0bce2e80f81c136d10e43b70cd68af05b7744a335c4277496e98/pl_other_0/common_voice_pl_27265053.mp3	"Dotyczy konkretnie ""kontrowersyjnej politycznej"" wypowiedzi"	1	1	twenties	male_masculine		pl			/scratch/ABHI/huggingface_cache2/downloads/extracted/8c76145891db0bce2e80f81c136d10e43b70cd68af05b7744a335c4277496e98/pl_other_0/common_voice_pl_27265053.mp3	dɔtɨtʃɨ kɔŋkrɛtɲʲɛ kɔntrɔvɛrsɨjnɛj pɔlitɨtʃnɛj vɨpɔvʲɛdʑi
7a771c9585fd2dd83fc9b46df8d9cd6ecb1174eea3c3e2ade4dce481b6f106ee6fcae219574cacd45c58c7e170fd84ae9d808ab5c21216e7093bfb09992603eb	/scratch/ABHI/huggingface_cache2/downloads/extracted/8c76145891db0bce2e80f81c136d10e43b70cd68af05b7744a335c4277496e98/pl_other_0/common_voice_pl_27369891.mp3	Dla pańskiego rządu ten moment minął	1	0	thirties	male_masculine		pl			/scratch/ABHI/huggingface_cache2/downloads/extracted/8c76145891db0bce2e80f81c136d10e43b70cd68af05b7744a335c4277496e98/pl_other_0/common_voice_pl_27369891.mp3	dla paɲskʲɛɡɔ ʒɔndu tɛn mɔmɛnt minɔw
7a771c9585fd2dd83fc9b46df8d9cd6ecb1174eea3c3e2ade4dce481b6f106ee6fcae219574cacd45c58c7e170fd84ae9d808ab5c21216e7093bfb09992603eb	/scratch/ABHI/huggingface_cache2/downloads/extracted/8c76145891db0bce2e80f81c136d10e43b70cd68af05b7744a335c4277496e98/pl_other_0/common_voice_pl_27370101.mp3	Innymi słowy, poeci, autorzy piosenek, kompozytorzy, producenci i wszyscy zaangażowani w działania twórcze	1	0	thirties	male_masculine		pl			/scratch/ABHI/huggingface_cache2/downloads/extracted/8c76145891db0bce2e80f81c136d10e43b70cd68af05b7744a335c4277496e98/pl_other_0/common_voice_pl_27370101.mp3	innɨmi swɔvɨ pɔɛtɕi awtɔʒɨ pʲɔsɛnɛk kɔmpɔzɨtɔʒɨ prɔdutsɛɲtɕi i fʃɨstsɨ zaaŋɡaʒɔvaɲi w dʑawaɲʲa tfurtʃɛ
6b65d753de2870a3f7d6c5dcf62ad16513c5b787f19b35a9e710b74f2663cea90e8160e644328ae630292c0dfebb22e6ec6b7daa34608757127d547ae389585f	/scratch/ABHI/huggingface_cache2/downloads/extracted/8c76145891db0bce2e80f81c136d10e43b70cd68af05b7744a335c4277496e98/pl_other_0/common_voice_pl_27390660.mp3	Wiele mówili państwo o zapobieganiu i zwalczaniu brutalnej radykalizacji	1	0				pl			/scratch/ABHI/huggingface_cache2/downloads/extracted/8c76145891db0bce2e80f81c136d10e43b70cd68af05b7744a335c4277496e98/pl_other_0/common_voice_pl_27390660.mp3	vʲɛlɛ muvili paɲstfɔː ɔ zapɔbjɛɡaɲʲu i zvaltʃaɲʲu brutalnɛj radɨkalizatsji
6b65d753de2870a3f7d6c5dcf62ad16513c5b787f19b35a9e710b74f2663cea90e8160e644328ae630292c0dfebb22e6ec6b7daa34608757127d547ae389585f	/scratch/ABHI/huggingface_cache2/downloads/extracted/8c76145891db0bce2e80f81c136d10e43b70cd68af05b7744a335c4277496e98/pl_other_0/common_voice_pl_27390674.mp3	W dzisiejszej debacie poruszono dwa ważne tematy	1	0				pl			/scratch/ABHI/huggingface_cache2/downloads/extracted/8c76145891db0bce2e80f81c136d10e43b70cd68af05b7744a335c4277496e98/pl_other_0/common_voice_pl_27390674.mp3	w dʑiɕɛjʃɛj dɛbatɕɛ pɔruʃɔnɔ dva vaʒnɛ tɛmatɨ
6b65d753de2870a3f7d6c5dcf62ad16513c5b787f19b35a9e710b74f2663cea90e8160e644328ae630292c0dfebb22e6ec6b7daa34608757127d547ae389585f	/scratch/ABHI/huggingface_cache2/downloads/extracted/8c76145891db0bce2e80f81c136d10e43b70cd68af05b7744a335c4277496e98/pl_other_0/common_voice_pl_27391225.mp3	Zasługuje ona na ogromny podziw, przede wszystkim za pańskie stałe wspieranie dialogu	1	0				pl			/scratch/ABHI/huggingface_cache2/downloads/extracted/8c76145891db0bce2e80f81c136d10e43b70cd68af05b7744a335c4277496e98/pl_other_0/common_voice_pl_27391225.mp3	zaswuɡujɛ ɔna na ɔɡrɔmnɨ pɔdʑif pʃɛdɛ fʃɨstkim za paɲskʲɛ stawɛ fspʲɛraɲʲɛ djalɔɡu
